,Unnamed: 0,web-scraper-order,web-scraper-start-url,titleproduct,location,shippingfee,price,sellerrating,reviews,reviewrating,shipontimerating,chatresponserating,reviews_en
10,20,1625651133-522,https://www.lazada.com.ph/products/nintendo-battery-pack-gba-sp-gameboy-advance-sp-with-free-screwdriver-i409934292-s992606992.html?spm=a2o4l.searchlistcategory.list.124.52a0313cjnkmIo&search=1,Nintendo Battery Pack GBA SP Gameboy Advance SP with free screwdriver,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,300,94,Ok po packaging. Gumagana rin. Ang bikia ng delivery Highly recommended seller.,4.8,99,98,Ok packaging. Works well. The delivery bikia Highly recommended seller.
11,23,1625651174-698,https://www.lazada.com.ph/products/dobe-ps4-controller-mobile-smart-phone-clip-mount-holder-for-sony-playstation-4-dualshock-4-controller-i934436360-s3039390952.html?spm=a2o4l.searchlistcategory.list.74.52a0313cuYeryQ&search=1,DOBE PS4 Controller Mobile Smart Phone Clip Mount Holder for Sony PlayStation 4 Dualshock 4 Controller,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,198,97,We're very happy that you liked our product. Thank you for giving us 5-star rating. Please chat us to get an exclusive discount voucher on your next purchase.,4.9,99,100,We're very happy that you liked our product. Thank you for giving us 5-star rating. Please chat us to get an exclusive discount voucher on your next purchase.
12,28,1625651120-457,https://www.lazada.com.ph/products/local-stock2021-mini-retro-tv-game-console-classic-6202000-built-in-games-with-2-controllers-new-handheld-game-players-i1875761575-s9026765434.html?spm=a2o4l.searchlistcategory.list.137.52a0313cuB9oFO&search=1,[Local Stock]2021 Mini Retro TV Game Console Classic 620/2000 Built-in Games With 2 Controllers NEW Handheld Game Players,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,380,98,Thank you for your trust and support! Share good things with everyone~ I hope you will continue to support our store. I look forward to your coming again and wish you a happy life,4.8,99,100,Thank you for your trust and support! Share good things with everyone~ I hope you will continue to support our store. I look forward to your coming again and wish you a happy life
13,31,1625651109-386,https://www.lazada.com.ph/products/max-ph-call-of-duty-mobile-controller-k21-pugb-trigge-4-finger-linkage-game-handle-peace-elite-fast-shooting-button-controller-for-pubg-rules-of-survival-game-trigger-joystick-gamepad-for-ios-android-phone-i587586668-s1606612972.html?spm=a2o4l.searchlistcategory.list.148.52a0313cPGNMcG&search=1,MAX PH Call of duty mobile Controller K21 PUGB Trigge 4 Finger Linkage Game Handle Peace Elite Fast Shooting Button Controller for PUBG Rules of Survival Game Trigger Joystick Gamepad for iOS Android Phone,"Metro Manila~Quezon City, Quezon City, Project 6",45,85,94,(MAX PH) Thank you for your shopping HAPPY SHOPPING !!!!!!!,4.5,93,100,(MAX PH) Thank you for your shopping HAPPY SHOPPING !!!!!!!
14,34,1625651236-869,https://www.lazada.com.ph/products/ps3-persona-4-arena-ultimax-r3-i1873708638-s7963332747.html?spm=a2o4l.searchlistcategory.list.9.52a0313cI5tHQR&search=1,PS3 Persona 4 Arena Ultimax (R3),"Metro Manila~Quezon City, Quezon City, Project 6",41.5,700,98,Item was secured properly and legit brand new. Thanks Gameline you never disappoint :),5,99,100,Item was secured properly and legit brand new. Thanks Gameline you never disappoint :)
15,36,1625651100-329,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-thumb-touchscreen-game-controller-phone-gaming-i1769544644-s7559920943.html?spm=a2o4l.searchlistcategory.bestshown_1.1.52a0313cPUWXwE&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Thumb Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,28,96,Hi! We're glad to hear that. Thank you for choosing and trusting our store ‚ù§ We are happy to serve you! Looking forward to our next transaction!,4.9,100,99,Hi! We're glad to hear that. Thank you for choosing and trusting our store ‚ù§ We are happy to serve you! Looking forward to our next transaction!
16,38,1625651120-453,https://www.lazada.com.ph/products/local-stock2021-mini-retro-tv-game-console-classic-6202000-built-in-games-with-2-controllers-new-handheld-game-players-i1875761575-s9026765434.html?spm=a2o4l.searchlistcategory.list.137.52a0313cuB9oFO&search=1,[Local Stock]2021 Mini Retro TV Game Console Classic 620/2000 Built-in Games With 2 Controllers NEW Handheld Game Players,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,380,98,"?§©Thank you for your trust and support! Share good things with everyone~ I hope you will continue to support our store. I look forward to your coming again and wish you a happy life
Peter V. 10 Jun 2021",4.8,99,100,"?§©Thank you for your trust and support! Share good things with everyone~ I hope you will continue to support our store. I look forward to your coming again and wish you a happy life
Peter V. 10 Jun 2021"
17,44,1625651123-469,https://www.lazada.com.ph/products/delivery-in-3-daysoriginal-flydigi-wasp-finger-sleeve-mobile-phone-gaming-gloves-sweat-proof-finger-cover-finger-sleeve-gaming-finger-gloves-for-pubg-call-of-duty-peace-elite-game-profession-occupation-touch-screen-thumb-gamepad-i430364301-s1972896640.html?spm=a2o4l.searchlistcategory.list.133.52a0313cpBK94k&search=1,[Delivery in 3 Days]Original Flydigi  Wasp Finger Sleeve Mobile Phone gaming gloves Sweat-Proof Finger Cover  Finger Sleeve gaming Finger Gloves for PUBG Call of duty Peace Elite Game profession Occupation Touch Screen Thumb Gamepad,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,146,92,"I absolutely love it! It may be one of the most expensive gaming finger sleeves here but I can definitely tell it's only because of the quality. It's seamless. Not too thick that you'd feel weird while wearing it. The design is nice. It's very comfortable. 

I hope the material is durable enough though. Still a good purchase. Thank you!",4.8,98,93,"I absolutely love it! It may be one of the most expensive gaming finger sleeves here but I can definitely tell it's only because of the quality. It's seamless. Not too thick that you'd feel weird while wearing it. The design is nice. It's very comfortable. 

I hope the material is durable enough though. Still a good purchase. Thank you!"
18,46,1625651216-813,https://www.lazada.com.ph/products/appo-finger-sleeve-removes-sweat-and-water-game-controller-for-pubg-mobile-legends-cod-codm-call-of-duty-fiber-anti-sweat-i2054113476-s9114885088.html?spm=a2o4l.searchlistcategory.list.44.52a0313cZmd4Xw&search=1,"APPO Finger Sleeve Removes Sweat and Water Game Controller For Pubg Mobile legends COD CODM Call of duty, Fiber Anti-Sweat","Metro Manila~Quezon City, Quezon City, Project 6",41.5,7,88,so fast delivered,5,99,100,so fast delivered
19,57,1625651149-596,https://www.lazada.com.ph/products/local-seller-wireless-handheld-tv-video-game-console-retro-game-box-electronic-game-mini-handheld-usb-dual-controller-av-output-built-in-620-classic-games-contra-turtle-adventure-island-mortal-kombat-4-i2028244858-s8957881005.html?spm=a2o4l.searchlistcategory.list.105.52a0313ch8VK3d&search=1,[Local seller] Wireless handheld TV video game console Retro game box Electronic game Mini handheld USB dual controller AV output built-in 620 classic games  contra   turtle  adventure island   mortal kombat 4,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,352.8,96,the seller is very easy to talk to. the package arrived earlier than expected. the courier was very nice also. the items were neatly packed and all the items are working. there will be very happy people receiving them.  thank you very much as seller,5,98,100,the seller is very easy to talk to. the package arrived earlier than expected. the courier was very nice also. the items were neatly packed and all the items are working. there will be very happy people receiving them.  thank you very much as seller
20,58,1625651201-758,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-touchscreen-game-controller-phone-gaming-gaming-fingers-i1132238341-s3933526748.html?spm=a2o4l.searchlistcategory.list.58.52a0313c31aV8l&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Touchscreen Game Controller Phone Gaming Gaming fingers,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,11.8,88,Ang bilis ng deliver at ska maganda yung packaging nya isa pa maganda sya gamitin madaling isuot,4.5,96,44,"The speed of delivery and its good packaging are also good to use, easy to wear"
21,60,1625651100-337,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-thumb-touchscreen-game-controller-phone-gaming-i1769544644-s7559920943.html?spm=a2o4l.searchlistcategory.bestshown_1.1.52a0313cPUWXwE&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Thumb Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,28,96,Good Day ! Glad to know that you like our product. It is our pleasure to serve you.Looking forward to our next transaction!,4.9,100,99,Good Day ! Glad to know that you like our product. It is our pleasure to serve you.Looking forward to our next transaction!
22,63,1625651083-302,https://www.lazada.com.ph/products/mobile-club-wasp-finger-sleeve-2-mobile-phone-gaming-sweat-proof-finger-cover-finger-sleeve-finger-gloves-for-pubg-call-of-duty-peace-elite-game-profession-occupation-touch-screen-thumb-gamepad-i1196038316-s4229404093.html?spm=a2o4l.searchlistcategory.bestshown_1.10.52a0313cMC6OlY&search=1,Mobile Club Wasp Finger Sleeve 2 Mobile Phone Gaming Sweat-Proof Finger Cover Finger Sleeve Finger Gloves for PUBG Call of duty Peace Elite Game profession Occupation Touch Screen Thumb Gamepad,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,9,93,"unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including",4.8,97,99,"unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including"
23,65,1625651152-612,https://www.lazada.com.ph/products/ready-wired-8-bit-tv-red-and-white-machine-game-player-handle-gampad-controller-i528324781-s1418794055.html?spm=a2o4l.searchlistcategory.list.102.52a0313cMqXCJq&search=1,[Ready] ‚ù§Wired 8 Bit TV Red and White Machine Game Player Handle Gampad Controller,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,119,92,so disapointed ang anak ko never niya nagamit ang item kc sira naman ayaw ko na dto sa store naito.,4.8,99,100,so disapointed my son never used the item kc it's broken I don't want to be in this store anymore.
24,66,1625651181-725,https://www.lazada.com.ph/products/jl-01-3-in-1-joystick-grip-extended-handle-game-controller-gamepad-mobile-phone-holder-i215301253-s279484222.html?spm=a2o4l.searchlistcategory.list.68.52a0313cBSoUAC&search=1,JL-01 3 in 1 Joystick Grip Extended Handle Game Controller Gamepad Mobile Phone Holder,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,18.62,91,jsbjskbxianzbkxkbxkzbzkxbxkxhdkxjndndjxkkxkskodkdjdjdkxnnxnxjxkksksjjdjxjxjxkjxnxnxnxkkdkxjxnnxnxkkzjsnxnxkkxkxkkxdnnxkxkxbxbxnjxjxnxnxjxjksjxnnxjxjxjkxkdksksijsjsjsjsjjxhxijx,4.4,99,99,jsbjskbxianzbkxkbxkzbzkxbxkxhdkxjndndjxkkxkskodkdjdjdkxnnxnxjxkksksjjdjxjxjxkjxnxnxnxkkdkxjxnnxnxkkzjsnxnxkkxkxkkxdnnxkxkxbxbxnjxjxnxnxjxjksjxnnxjxjxjkxkdksksijsjsjsjsjjxhxijx
25,67,1625651105-366,https://www.lazada.com.ph/products/linshun-5in1-game-pad-game-handlemoblie-phone-stents-5in1-gamepad-i337162423-s751330541.html?spm=a2o4l.searchlistcategory.list.151.52a0313ccGXhxM&search=1,LINSHUN 5in1 game pad GAME HANDLE/MOBLIE PHONE STENTS 5IN1 GAMEPAD,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,53,93,ang gandaaa! and super comfortable sya gamitin while playing! ang cool dinnnn,4.5,97,100,ang gandaaa! and she is super comfortable to use while playing! the cool dinnnn
26,69,1625651242-894,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-thumb-touchscreen-game-controller-phone-gaming-i1769544644-s7559920943.html?spm=a2o4l.searchlistcategory.list.1.52a0313c72vg7l&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Thumb Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,28,96,"all goods, my gf loves it
fast delivery
responsible seller
apologies if video is pixelated",4.9,100,99,"all goods, my gf loves it
fast delivery
responsible seller
apologies if video is pixelated"
27,70,1625651130-508,https://www.lazada.com.ph/products/w10-mobile-game-pad-joystick-gamepad-handle-design-i351376948-s793626122.html?spm=a2o4l.searchlistcategory.list.127.52a0313cbVVA4H&search=1,W10 Mobile Game pad Joystick Gamepad Handle Design,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,53.9,90,good quality ??ç,4.6,96,97,good quality ??ç
28,79,1625651127-486,https://www.lazada.com.ph/products/nes-retro-mini-tv-handheld-family-recreation-video-game-console-w-built-in-500-classic-games-i232263798-s313293012.html?spm=a2o4l.searchlistcategory.list.130.52a0313crnJZZK&search=1,NES Retro Mini TV Handheld Family Recreation Video Game Console w/ Built-in 500 Classic Games,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,449,88,thank u po maam/sir godbless :)),4.5,100,98,thank u po maam/sir godbless :))
29,81,1625651102-358,https://www.lazada.com.ph/products/mini-video-game-console-entertainment-system-built-in-400-family-game-box-i275135314-s405605652.html?spm=a2o4l.searchlistcategory.list.154.52a0313ckSnGMn&search=1,Mini Video Game Console Entertainment System Built-in 400 family game box,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,445,81,thank u :),4.5,100,92,thank u :)
30,82,1625651209-793,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-touchscreen-game-controller-phone-gaming-i1948539644-s8420551783.html?spm=a2o4l.searchlistcategory.list.50.52a0313cilh6EH&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,18,92,"Thank you for supporting EWA 3C HUB ???, we're happy that you like it, your feedback on us is much appreciated. ‚ù§",4.7,96,100,"Thank you for supporting EWA 3C HUB ???, we're happy that you like it, your feedback on us is much appreciated. ‚ù§"
31,84,1625651242-901,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-thumb-touchscreen-game-controller-phone-gaming-i1769544644-s7559920943.html?spm=a2o4l.searchlistcategory.list.1.52a0313c72vg7l&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Thumb Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,28,96,Good Day ! Glad to know that you like our product. It is our pleasure to serve you.Looking forward to our next transaction!,4.9,100,99,Good Day ! Glad to know that you like our product. It is our pleasure to serve you.Looking forward to our next transaction!
32,87,1625651236-868,https://www.lazada.com.ph/products/ps3-persona-4-arena-ultimax-r3-i1873708638-s7963332747.html?spm=a2o4l.searchlistcategory.list.9.52a0313cI5tHQR&search=1,PS3 Persona 4 Arena Ultimax (R3),"Metro Manila~Quezon City, Quezon City, Project 6",41.5,700,98,Well packaged! Arrived within 2 days! Thank you Gameline for always having good deals! sa uulitin!,5,99,100,Well packaged! Arrived within 2 days! Thank you Gameline for always having good deals! sa uulitin!
33,88,1625651149-597,https://www.lazada.com.ph/products/local-seller-wireless-handheld-tv-video-game-console-retro-game-box-electronic-game-mini-handheld-usb-dual-controller-av-output-built-in-620-classic-games-contra-turtle-adventure-island-mortal-kombat-4-i2028244858-s8957881005.html?spm=a2o4l.searchlistcategory.list.105.52a0313ch8VK3d&search=1,[Local seller] Wireless handheld TV video game console Retro game box Electronic game Mini handheld USB dual controller AV output built-in 620 classic games  contra   turtle  adventure island   mortal kombat 4,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,352.8,96,"HI friends, your satisfaction and praise is the best return to us! Thank you for your trust and support! Looking forward to seeing each other next time!",5,98,100,"HI friends, your satisfaction and praise is the best return to us! Thank you for your trust and support! Looking forward to seeing each other next time!"
34,97,1625651149-604,https://www.lazada.com.ph/products/local-seller-wireless-handheld-tv-video-game-console-retro-game-box-electronic-game-mini-handheld-usb-dual-controller-av-output-built-in-620-classic-games-contra-turtle-adventure-island-mortal-kombat-4-i2028244858-s8957881005.html?spm=a2o4l.searchlistcategory.list.105.52a0313ch8VK3d&search=1,[Local seller] Wireless handheld TV video game console Retro game box Electronic game Mini handheld USB dual controller AV output built-in 620 classic games  contra   turtle  adventure island   mortal kombat 4,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,352.8,96,"Napaka-magiliw na nagbebenta, napapanahong tugon at nalulutas ang aking mga pangangailangan,Napakagandang produkto at halaga para sa pera,",5,98,100,"Very friendly seller, timely response and solves my needs, Very good product and value for money,"
35,102,1625651094-320,https://www.lazada.com.ph/products/ipega-pg-9157-upgraded-pg-9078-wireless-game-controller-i264296274-s694894331.html?spm=a2o4l.searchlistcategory.bestshown_1.7.52a0313cSSP8KD&search=1,iPega PG-9157 Upgraded PG-9078 Wireless Game controller,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,529,92,Okay lang ganda sana tumagal,4.6,100,100,"It's okay, it would have lasted"
36,105,1625651105-367,https://www.lazada.com.ph/products/linshun-5in1-game-pad-game-handlemoblie-phone-stents-5in1-gamepad-i337162423-s751330541.html?spm=a2o4l.searchlistcategory.list.151.52a0313ccGXhxM&search=1,LINSHUN 5in1 game pad GAME HANDLE/MOBLIE PHONE STENTS 5IN1 GAMEPAD,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,53,93,salamat po,4.5,97,100,thank you
37,108,1625651224-838,https://www.lazada.com.ph/products/18-pin-carbon-fiber-finger-sleeves-for-pubg-mobile-games-press-screen-finger-sleeves-black-yellow16-pcs-i899546413-s2885090582.html?spm=a2o4l.searchlistcategory.list.37.52a0313cV3XGK9&search=1,18-Pin Carbon Fiber Finger Sleeves For PUBG Mobile Games Press Screen Finger Sleeves Black & Yellow(16 Pcs),"Metro Manila~Quezon City, Quezon City, Project 6",41.5,57.12,96,mali deliver nalongkot anak  order nia  sa daliri  ginamit sa pag lalaro wage denilever,4.8,99,69,wrong deliver nalongkot anak order nia sa daliri ginamit sa pag lalaro wage denilever
38,110,1625651123-470,https://www.lazada.com.ph/products/delivery-in-3-daysoriginal-flydigi-wasp-finger-sleeve-mobile-phone-gaming-gloves-sweat-proof-finger-cover-finger-sleeve-gaming-finger-gloves-for-pubg-call-of-duty-peace-elite-game-profession-occupation-touch-screen-thumb-gamepad-i430364301-s1972896640.html?spm=a2o4l.searchlistcategory.list.133.52a0313cpBK94k&search=1,[Delivery in 3 Days]Original Flydigi  Wasp Finger Sleeve Mobile Phone gaming gloves Sweat-Proof Finger Cover  Finger Sleeve gaming Finger Gloves for PUBG Call of duty Peace Elite Game profession Occupation Touch Screen Thumb Gamepad,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,146,92,Thank you ! this can definitely bring you a better gaming experience,4.8,98,93,Thank you ! this can definitely bring you a better gaming experience
39,119,1625651102-361,https://www.lazada.com.ph/products/mini-video-game-console-entertainment-system-built-in-400-family-game-box-i275135314-s405605652.html?spm=a2o4l.searchlistcategory.list.154.52a0313ckSnGMn&search=1,Mini Video Game Console Entertainment System Built-in 400 family game box,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,445,81,good quality ang item gumagana at nagustuhan ng aking anak. kaso akala ko tulad ng dati n malahi mini pala. pero oky lang enjoy sila. TY. seller,4.5,100,92,good quality item works and my son liked. case I thought like before n malahi mini shovel. but it's ok to enjoy them. TY. seller
40,123,1625651224-839,https://www.lazada.com.ph/products/18-pin-carbon-fiber-finger-sleeves-for-pubg-mobile-games-press-screen-finger-sleeves-black-yellow16-pcs-i899546413-s2885090582.html?spm=a2o4l.searchlistcategory.list.37.52a0313cV3XGK9&search=1,18-Pin Carbon Fiber Finger Sleeves For PUBG Mobile Games Press Screen Finger Sleeves Black & Yellow(16 Pcs),"Metro Manila~Quezon City, Quezon City, Project 6",41.5,57.12,96,"Dear customer, we apologize to you for our wrong delivery, which delayed your time and caused you trouble, very sorry",4.8,99,69,"Dear customer, we apologize to you for our wrong delivery, which delayed your time and caused you trouble, very sorry"
41,124,1625651181-726,https://www.lazada.com.ph/products/jl-01-3-in-1-joystick-grip-extended-handle-game-controller-gamepad-mobile-phone-holder-i215301253-s279484222.html?spm=a2o4l.searchlistcategory.list.68.52a0313cBSoUAC&search=1,JL-01 3 in 1 Joystick Grip Extended Handle Game Controller Gamepad Mobile Phone Holder,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,18.62,91,masarap gamitin. di ka mangangalay. okay na okay sa mga gamer ng smartphones.,4.4,99,99,delicious to use. you will not be disappointed. okay okay with smartphone gamers.
